Project,From,Execution,To,FromLocation,FromSuccessCheckPoint,FromFailCheckPoint,FromShowCheckPoint,FromType,FromLastTime,FromResult,ToLocation,ToSuccessCheckPoint,ToFailCheckPoint,ToShowCheckPoint,ToType,ToLastTime,ToResult,Periodic,Replace,Description
Daily_Committest,[cmu-project]_log_TigerTestAgent_LOG,TigerTestAgent_sldd,[cmu-project]_TigerTestAgent_TestResult,ssh:tiger.lge.com:/var/www/html/DailyTest/[cmu-project]_release/[TODAY]/daily_[cmu-project].log,Success,FailTimeOut _OR_ Fail _OR_ Crashed,RESULT:  ,text,,,ssh:tiger.lge.com:/var/www/html/DailyTest/[cmu-project]_release/[TODAY]/TA_report/TestResultFile.txt,FINAL_TEST_RESULT : PASS,FINAL_TEST_RESULT : FAIL,,text,,,1,cmu-project,Committest log and final result check
Daily_Committest,[cmu-project]_log_TigerTestAgent_LOG,TigerTestAgent_sldd,[cmu-project]_TigerTestAgent_TC_Fail,ssh:tiger.lge.com:/var/www/html/DailyTest/[cmu-project]_release/[TODAY]/daily_[cmu-project].log,Success,FailTimeOut _OR_ Fail _OR_ Crashed,RESULT:  ,text,,,ssh:tiger.lge.com:/var/www/html/DailyTest/[cmu-project]_release/[TODAY]/TA_report/TA_TC_FAIL_[cmu-module].csv,,,,text,,,1,"cmu-project,cmu-module",Committest TC fail of each module
Public_API,tiger_desktop_gen12_lib_API_[gen12-api-module],List_public_API_handle,tiger_desktop_gen12_LOG_TigerTestAgent_AllPublicAPI,ssh:tiger.lge.com:/data001/auto.tiger/daily_build_tiger_desktop_gen12_release/intel-build/build/listAPIHandle/output/[gen12-api-module].txt,,,,text,,,ssh:tiger.lge.com:/var/www/html/DailyTest/tiger_desktop_gen12_release/[TODAY]/AllPublicAPI.csv,,,,text,,,1,gen12-api-module,Get all public API
Public_API,tiger_desktop_honda_lib_API_[honda-api-module],List_public_API_handle,tiger_desktop_honda_LOG_TigerTestAgent_AllPublicAPI,ssh:tiger.lge.com:/data001/auto.tiger/daily_build_tiger_desktop_honda_release/intel-build/build/listAPIHandle/output/[honda-api-module].txt,,,,text,,,ssh:tiger.lge.com:/var/www/html/DailyTest/tiger_desktop_honda_release/[TODAY]/AllPublicAPI.csv,,,,text,,,1,honda-api-module,Get all public API
Public_API,bmw_icon_nad_lib_API_[icon-api-module],List_public_API_handle,bmw_icon_nad_LOG_TigerTestAgent_AllPublicAPI,ssh:tiger.lge.com:/data001/auto.tiger/daily_build_bmw_icon_nad_release/nad/common/tiger-desktop/desktop-build/build/listAPIHandle/output/[icon-api-module].txt,,,,text,,,ssh:tiger.lge.com:/var/www/html/DailyTest/bmw_icon_nad_release/[TODAY]/AllPublicAPI.csv,,,,text,,,1,icon-api-module,Get all public API
Public_API,toyota_24dcm_lib_API_[toyota-api-module],List_public_API_handle,toyota_24dcm_LOG_TigerTestAgent_AllPublicAPI,ssh:tiger.lge.com:/data001/auto.tiger/daily_build_toyota_24dcm_release/build-24dcm/nad/LGE/tiger-desktop/desktop-build/build/listAPIHandle/output/[toyota-api-module].txt,,,,text,,,ssh:tiger.lge.com:/var/www/html/DailyTest/toyota_24dcm_release/[TODAY]/AllPublicAPI.csv,,,,text,,,1,toyota-api-module,Get all public API
Public_API,tiger_desktop_lib_API_[cmu-api-module],List_public_API_handle,tiger_desktop_LOG_TigerTestAgent_AllPublicAPI,ssh:tiger.lge.com:/data001/auto.tiger/daily_build_tiger_desktop_release/intel-build/build/listAPIHandle/output/[cmu-api-module].txt,,,,text,,,ssh:tiger.lge.com:/var/www/html/DailyTest/tiger_desktop_release/[TODAY]/AllPublicAPI.csv,,,,text,,,1,cmu-api-module,Get all public API
Public_API,tiger_desktop_gen12_LOG_TigerTestAgent_AllPublicAPI,TigerTestAgent_ltrace_gen12,tiger_desktop_gen12_[cmu-gen12-module]_TA_CalledPublicAPI,ssh:tiger.lge.com:/var/www/html/DailyTest/tiger_desktop_gen12_release/[TODAY]/AllPublicAPI.csv,,,,text,,,ssh:tiger.lge.com:/var/www/html/DailyTest/tiger_desktop_gen12_release/[TODAY]/TA_report/TestResultFile.txt,PASS,FAIL,[cmu-gen12-module],text,,,1,cmu-gen12-module,Called public API check
Public_API,tiger_desktop_honda_LOG_TigerTestAgent_AllPublicAPI,TigerTestAgent_ltrace_honda,tiger_desktop_honda_[cmu-honda-module]_TA_CalledPublicAPI,ssh:tiger.lge.com:/var/www/html/DailyTest/tiger_desktop_honda_release/[TODAY]/AllPublicAPI.csv,,,,text,,,ssh:tiger.lge.com:/var/www/html/DailyTest/tiger_desktop_honda_release/[TODAY]/TA_report/TestResultFile.txt,PASS,FAIL,[cmu-honda-module],text,,,1,cmu-honda-module,Called public API check
Public_API,bmw_icon_nad_LOG_TigerTestAgent_AllPublicAPI,TigerTestAgent_ltrace_bmw,bmw_icon_nad_[cmu-icon-module]_TA_CalledPublicAPI,ssh:tiger.lge.com:/var/www/html/DailyTest/bmw_icon_nad_release/[TODAY]/AllPublicAPI.csv,,,,text,,,ssh:tiger.lge.com:/var/www/html/DailyTest/bmw_icon_nad_release/[TODAY]/TA_report/TestResultFile.txt,PASS,FAIL,[cmu-icon-module],text,,,1,cmu-icon-module,Called public API check
Public_API,toyota_24dcm_LOG_TigerTestAgent_AllPublicAPI,TigerTestAgent_ltrace_24dcm,toyota_24dcm_[cmu-toyota-module]_TA_CalledPublicAPI,ssh:tiger.lge.com:/var/www/html/DailyTest/toyota_24dcm_release/[TODAY]/AllPublicAPI.csv,,,,text,,,ssh:tiger.lge.com:/var/www/html/DailyTest/toyota_24dcm_release/[TODAY]/TA_report/TestResultFile.txt,PASS,FAIL,[cmu-toyota-module],text,,,1,cmu-toyota-module,Called public API check
Public_API,tiger_desktop_LOG_TigerTestAgent_AllPublicAPI,TigerTestAgent_ltrace_common,tiger_desktop_[cmu-module]_TA_CalledPublicAPI,ssh:tiger.lge.com:/var/www/html/DailyTest/tiger_desktop_release/[TODAY]/AllPublicAPI.csv,,,,text,,,ssh:tiger.lge.com:/var/www/html/DailyTest/tiger_desktop_release/[TODAY]/TA_report/TestResultFile.txt,PASS,FAIL,[cmu-module],text,,,1,cmu-module,Called public API check
SWIT,[cmu-project]_log_TigerTestAgent_Swit,TigerTestAgent_sldd,[cmu-project]_TigerTestAgent_SWIT,ssh:tiger.lge.com:/var/www/html/DailyTest/[cmu-project]_release/[TODAY]/TA_report/TestResult_SWIT.txt,0,,"TestCase (fail, pass /tested/total) =",text,,,ssh:tiger.lge.com:/var/www/html/DailyTest/[cmu-project]_release/[TODAY]/TestResult_SWIT.html,,,,,,,1,cmu-project,SWIT test log and result check
UTS,Common_src_UTS_[cmu-uts-module],UTS_Gtest_[cmu-uts-module],Common_UTS_LOG_[cmu-uts-module],,,,,,,,ssh:tiger.lge.com:/var/www/html/DailyTest/tiger_desktop_release/[TODAY]/utsOutput/[cmu-uts-module]/uts_log__[cmu-uts-module].txt,PASS,FAILED,UTS_Result: [cmu-uts-module],text,,,1,cmu-uts-module,UTS log check
UTS,Gen12_src_UTS_[cmu-gen12-uts-module],UTS_Gtest_[cmu-gen12-uts-module],Gen12_UTS_LOG_[cmu-gen12-uts-module],,,,,,,,ssh:tiger.lge.com:/var/www/html/DailyTest/tiger_desktop_gen12/[TODAY]/utsOutput/[cmu-gen12-uts-module]/uts_log__[cmu-gen12-uts-module].txt,PASS,FAILED,UTS_Result: [cmu-gen12-uts-module],text,,,1,cmu-gen12-uts-module,UTS log check
UTS,Honda_src_UTS_[cmu-honda-uts-module],UTS_Gtest_[cmu-honda-uts-module],Honda_UTS_LOG_[cmu-honda-uts-module],,,,,,,,ssh:tiger.lge.com:/var/www/html/DailyTest/tiger_desktop_honda/[TODAY]/utsOutput/[cmu-honda-uts-module]/uts_log__[cmu-honda-uts-module].txt,PASS,FAILED,UTS_Result: [cmu-honda-uts-module],text,,,1,cmu-honda-uts-module,UTS log check
UTS,Toyota_src_UTS_[cmu-toyota-uts-module],UTS_Gtest_[cmu-toyota-uts-module],Toyota_UTS_LOG_[cmu-toyota-uts-module],,,,,,,,ssh:tiger.lge.com:/var/www/html/DailyTest/toyota_24dcm/[TODAY]/utsOutput/[cmu-toyota-uts-module]/uts_log__[cmu-toyota-uts-module].txt,PASS,FAILED,UTS_Result: [cmu-toyota-uts-module],text,,,1,cmu-toyota-uts-module,UTS log check
UTS,BMW_src_UTS_[cmu-icon-uts-module],UTS_Gtest_[cmu-icon-uts-module],BMW_UTS_LOG_[cmu-icon-uts-module],,,,,,,,ssh:tiger.lge.com:/var/www/html/DailyTest/bmw_icon_nad/[TODAY]/utsOutput/[cmu-icon-uts-module]/uts_log__[cmu-icon-uts-module].txt,PASS,FAILED,UTS_Result: [cmu-icon-uts-module],text,,,1,cmu-icon-uts-module,UTS log check
