Project,From,Execution,To,FromLocation,FromSuccessCheckPoint,FromFailCheckPoint,FromShowCheckPoint,FromType,FromLastTime,FromResult,ToLocation,ToSuccessCheckPoint,ToFailCheckPoint,ToShowCheckPoint,ToType,ToLastTime,ToResult,Periodic,Replace,Description
UTS,BMW_UTS_LOG_[cmu-icon-uts-module],UTS_Coverage_[cmu-icon-uts-module],BMW_coverage_UTS_COVERAGE_[cmu-icon-uts-module],ssh:tiger.lge.com:/var/www/html/DailyTest/bmw_icon_nad_release/[TODAY]/utsOutput/[cmu-icon-uts-module]/uts_log__[cmu-icon-uts-module].txt,Overall coverage rate: _SEQAND_ [100%] Built target all_coverage,,Overall coverage rate: _SEQAND_ lines _SEQAND_ functions _SEQAND_ branches,text,,,ssh:tiger.lge.com:/var/www/html/DailyTest/bmw_icon_nad_release/[TODAY]/utsOutput/[cmu-icon-uts-module]/all_coverage/index.html,,,,text,,,1,cmu-icon-uts-module,UTS coverage html result check
UTS,Gen12_UTS_LOG_[cmu-gen12-uts-module],UTS_Coverage_[cmu-gen12-uts-module],[cmu-project]_coverage_UTS_COVERAGE_[cmu-gen12-uts-module],ssh:tiger.lge.com:/var/www/html/DailyTest/tiger_desktop_gen12_release/[TODAY]/utsOutput/[cmu-gen12-uts-module]/uts_log__[cmu-gen12-uts-module].txt,Overall coverage rate: _SEQAND_ [100%] Built target all_coverage,,Overall coverage rate: _SEQAND_ lines _SEQAND_ functions _SEQAND_ branches,text,,,ssh:tiger.lge.com:/var/www/html/DailyTest/tiger_desktop_gen12_release/[TODAY]/utsOutput/[cmu-gen12-uts-module]/all_coverage/index.html,,,,text,,,1,cmu-gen12-uts-module,UTS coverage html result check
UTS,Honda_UTS_LOG_[cmu-honda-uts-module],UTS_Coverage_[cmu-honda-uts-module],[cmu-project]_coverage_UTS_COVERAGE_[cmu-honda-uts-module],ssh:tiger.lge.com:/var/www/html/DailyTest/tiger_desktop_honda_release/[TODAY]/utsOutput/[cmu-honda-uts-module]/uts_log__[cmu-honda-uts-module].txt,Overall coverage rate: _SEQAND_ [100%] Built target all_coverage,,Overall coverage rate: _SEQAND_ lines _SEQAND_ functions _SEQAND_ branches,text,,,ssh:tiger.lge.com:/var/www/html/DailyTest/tiger_desktop_honda_release/[TODAY]/utsOutput/[cmu-honda-uts-module]/all_coverage/index.html,,,,text,,,1,cmu-honda-uts-module,UTS coverage html result check
UTS,Toyota_UTS_LOG_[cmu-toyota-uts-module],UTS_Coverage_[cmu-toyota-uts-module],[cmu-project]_coverage_UTS_COVERAGE_[cmu-toyota-uts-module],ssh:tiger.lge.com:/var/www/html/DailyTest/toyota_24dcm_release/[TODAY]/utsOutput/[cmu-toyota-uts-module]/uts_log__[cmu-toyota-uts-module].txt,Overall coverage rate: _SEQAND_ [100%] Built target all_coverage,,Overall coverage rate: _SEQAND_ lines _SEQAND_ functions _SEQAND_ branches,text,,,ssh:tiger.lge.com:/var/www/html/DailyTest/toyota_24dcm_release/[TODAY]/utsOutput/[cmu-toyota-uts-module]/all_coverage/index.html,,,,text,,,1,cmu-toyota-uts-module,UTS coverage html result check
UTS,Common_UTS_LOG_[cmu-uts-module],UTS_Coverage_[cmu-uts-module],[cmu-project]_coverage_UTS_COVERAGE_[cmu-uts-module],ssh:tiger.lge.com:/var/www/html/DailyTest/tiger_desktop_release/[TODAY]/utsOutput/[cmu-uts-module]/uts_log__[cmu-uts-module].txt,Overall coverage rate: _SEQAND_ [100%] Built target all_coverage,,Overall coverage rate: _SEQAND_ lines _SEQAND_ functions _SEQAND_ branches,text,,,ssh:tiger.lge.com:/var/www/html/DailyTest/tiger_desktop_release/[TODAY]/utsOutput/[cmu-uts-module]/all_coverage/index.html,,,,text,,,1,cmu-uts-module,UTS coverage html result check
Info-Doxygen,Gen12_src_[cmu-gen12-module],"perl-data:info-doxygen.gv, info_doxygen.pl",Gen12_LOG_doxygen_[cmu-gen12-module],,,,,,,,ssh:tiger.lge.com:/var/www/html/DailyTest/tiger_desktop_gen12_release/[TODAY]/info-doxygen/[cmu-gen12-module].log,,,,,,,1,cmu-gen12-module,Make doxygen info from service manager
Info-Doxygen,Honda_src_[cmu-honda-module],"perl-data:info-doxygen.gv, info_doxygen.pl",Honda_LOG_doxygen_[cmu-honda-module],,,,,,,,ssh:tiger.lge.com:/var/www/html/DailyTest/tiger_desktop_honda_release/[TODAY]/info-doxygen/[cmu-honda-module].log,,,,,,,1,cmu-honda-module,Make doxygen info from service manager
Info-Doxygen,BMW_src_[cmu-icon-module],"perl-data:info-doxygen.gv, info_doxygen.pl",BMW_LOG_doxygen_[cmu-icon-module],,,,,,,,ssh:tiger.lge.com:/var/www/html/DailyTest/bmw_icon_nad_release/[TODAY]/info-doxygen/[cmu-icon-module].log,,,,,,,1,cmu-icon-module,Make doxygen info from service manager
Info-Doxygen,Toyota_src_[cmu-toyota-module],"perl-data:info-doxygen.gv, info_doxygen.pl",Toyota_LOG_doxygen_[cmu-toyota-module],,,,,,,,ssh:tiger.lge.com:/var/www/html/DailyTest/toyota_24dcm_release/[TODAY]/info-doxygen/[cmu-toyota-module].log,,,,,,,1,cmu-toyota-module,Make doxygen info from service manager
Info-Doxygen,Common_src_[cmu-module],"perl-data:info-doxygen.gv, info_doxygen.pl",Common_LOG_doxygen_[cmu-module],,,,,,,,ssh:tiger.lge.com:/var/www/html/DailyTest/tiger_desktop_release/[TODAY]/info-doxygen/[cmu-module].log,,,,,,,1,cmu-module,Make doxygen info from service manager
Info-Doxygen,Honda_LOG_doxygen_[cmu-honda-module],automation_script:handle_doxygen.py,Honda_doxygen_output,ssh:tiger.lge.com:/var/www/html/DailyTest/tiger_desktop_honda_release/[TODAY]/info-doxygen/[cmu-honda-module].log,pass,fail,result :,text,,,ssh:tiger.lge.com:/var/www/html/DailyTest/tiger_desktop_honda_release/[TODAY]/info-doxygen/__result.txt,((100%))_SEQOR_((PASS)),FAIL,Pass Rate:_SEQOR_INFO_DOXYGEN_RESULT :,text,,,1,cmu-honda-module,Doxygen log and generate result check
Info-Doxygen,Gen12_LOG_doxygen_[cmu-gen12-module],automation_script:handle_doxygen.py,Gen12_doxygen_output,ssh:tiger.lge.com:/var/www/html/DailyTest/tiger_desktop_gen12_release/[TODAY]/info-doxygen/[cmu-gen12-module].log,pass,fail,result :,text,,,ssh:tiger.lge.com:/var/www/html/DailyTest/tiger_desktop_gen12_release/[TODAY]/info-doxygen/__result.txt,((100%))_SEQOR_((PASS)),FAIL,Pass Rate:_SEQOR_INFO_DOXYGEN_RESULT :,text,,,1,cmu-gen12-module,Doxygen log and generate result check
Info-Doxygen,BMW_LOG_doxygen_[cmu-icon-module],automation_script:handle_doxygen.py,BMW_doxygen_output,ssh:tiger.lge.com:/var/www/html/DailyTest/bmw_icon_nad_release/[TODAY]/info-doxygen/[cmu-icon-module].log,pass,fail,result :,text,,,ssh:tiger.lge.com:/var/www/html/DailyTest/bmw_icon_nad_release/[TODAY]/info-doxygen/__result.txt,((100%))_SEQOR_((PASS)),FAIL,Pass Rate:_SEQOR_INFO_DOXYGEN_RESULT :,text,,,1,cmu-icon-module,Doxygen log and generate result check
Info-Doxygen,Toyota_LOG_doxygen_[cmu-toyota-module],automation_script:handle_doxygen.py,Toyota_doxygen_output,ssh:tiger.lge.com:/var/www/html/DailyTest/toyota_24dcm_release/[TODAY]/info-doxygen/[cmu-toyota-module].log,pass,fail,result :,text,,,ssh:tiger.lge.com:/var/www/html/DailyTest/toyota_24dcm_release/[TODAY]/info-doxygen/__result.txt,((100%))_SEQOR_((PASS)),FAIL,Pass Rate:_SEQOR_INFO_DOXYGEN_RESULT :,text,,,1,cmu-toyota-module,Doxygen log and generate result check
Info-Doxygen,Common_LOG_doxygen_[cmu-module],automation_script:handle_doxygen.py,Common_doxygen_output,ssh:tiger.lge.com:/var/www/html/DailyTest/tiger_desktop_release/[TODAY]/info-doxygen/[cmu-module].log,pass,fail,result :,text,,,ssh:tiger.lge.com:/var/www/html/DailyTest/tiger_desktop_release/[TODAY]/info-doxygen/__result.txt,((100%))_SEQOR_((PASS)),FAIL,Pass Rate:_SEQOR_INFO_DOXYGEN_RESULT :,text,,,1,cmu-module,Doxygen log and generate result check
AwarenessTest,BMW_committest_[cmu-icon-module],TEST_ALL_SERVICES_bmw_icon_nad,BMW_log_Awareness,ssh:tiger.lge.com:/var/www/html/DailyTest/bmw_icon_nad_release/[TODAY]/awareTest/[cmu-icon-module].out_log.txt,PASS,FAIL,FINAL_TEST_RESULT :,text,,,ssh:tiger.lge.com:/var/www/html/DailyTest/bmw_icon_nad_release/[TODAY]/awareTest/__result.txt,PASS,FAIL,AWARE_TEST_RESULT :,text,,,1,",cmu-icon-module",Awareness test log and result check
AwarenessTest,GEN12_committest_[cmu-gen12-module],TEST_ALL_SERVICES_desktop_gen12,GEN12_log_Awareness,ssh:tiger.lge.com:/var/www/html/DailyTest/tiger_desktop_gen12_release/[TODAY]/awareTest/[cmu-gen12-module].out_log.txt,PASS,FAIL,FINAL_TEST_RESULT :,text,,,ssh:tiger.lge.com:/var/www/html/DailyTest/tiger_desktop_gen12_release/[TODAY]/awareTest/__result.txt,PASS,FAIL,AWARE_TEST_RESULT :,text,,,1,",cmu-gen12-module",Awareness test log and result check
AwarenessTest,HONDA_committest_[cmu-honda-module],TEST_ALL_SERVICES_desktop_honda,HONDA_log_Awareness,ssh:tiger.lge.com:/var/www/html/DailyTest/tiger_desktop_honda_release/[TODAY]/awareTest/[cmu-honda-module].out_log.txt,PASS,FAIL,FINAL_TEST_RESULT :,text,,,ssh:tiger.lge.com:/var/www/html/DailyTest/tiger_desktop_honda_release/[TODAY]/awareTest/__result.txt,PASS,FAIL,AWARE_TEST_RESULT :,text,,,1,cmu-honda-module,Awareness test log and result check
AwarenessTest,24DCM_committest_[cmu-toyota-module],TEST_ALL_SERVICES_toyota_24dcm,24DCM_log_Awareness,ssh:tiger.lge.com:/var/www/html/DailyTest/toyota_24dcm_release/[TODAY]/awareTest/[cmu-toyota-module].out_log.txt,PASS,FAIL,FINAL_TEST_RESULT :,text,,,ssh:tiger.lge.com:/var/www/html/DailyTest/toyota_24dcm_release/[TODAY]/awareTest/__result.txt,PASS,FAIL,AWARE_TEST_RESULT :,text,,,1,cmu-toyota-module,Awareness test log and result check
AwarenessTest,COMMON_committest_[cmu-module],TEST_ALL_SERVICES_desktop_release,COMMON_log_Awareness,ssh:tiger.lge.com:/var/www/html/DailyTest/tiger_desktop_release/[TODAY]/awareTest/[cmu-module].out_log.txt,PASS,FAIL,FINAL_TEST_RESULT :,text,,,ssh:tiger.lge.com:/var/www/html/DailyTest/tiger_desktop_release/[TODAY]/awareTest/__result.txt,PASS,FAIL,AWARE_TEST_RESULT :,text,,,1,cmu-module,Awareness test log and result check
intuitiveui,TestResultFile.txt,intuitiveui.py,email : [$PROJECT_NAME] DailyTest report ${DATE_STR},,,,,,,,,,,,,,,,, result to html table
