Project,From,Execution,To,FromLocation,FromSuccessCheckPoint,FromFailCheckPoint,FromShowCheckPoint,FromType,FromLastTime,FromResult,ToLocation,ToSuccessCheckPoint,ToFailCheckPoint,ToShowCheckPoint,ToType,ToLastTime,ToResult,Periodic,Replace,Description
Committest,[cmu-project]_src_TigerTestAgent,TigerTestAgent_sldd,[cmu-project]_log_TigerTestAgent_LOG,vgit_src_[cmu-project]_TigerTestAgent,RESULT:  Success,RESULT: Fail_SEQOR_RESULT: FailTimeOut_SEQOR_RESULT: Crashed,,text,,,ssh:tiger.lge.com:/var/www/html/DailyTest/Latest_daily__[cmu-project]_release/daily_[cmu-project].log,,,_SEQAND_  test_command failed.,text,,,1,cmu-project,Committest log check
Committest,[cmu-project]_log_TigerTestAgent_LOG,TigerTestAgent_sldd,[cmu-project]_log_TigerTestAgent_TestResult,vgit_src_[cmu-project]_TigerTestAgent,,,,text,,,ssh:tiger.lge.com:/var/www/html/DailyTest/Latest_daily__[cmu-project]_release/TA_report/TestResultFile.txt,FINAL_TEST_RESULT : PASS,FINAL_TEST_RESULT : FAIL,"TestCase (fail, pass /tested/total) = [ _SEQAND_ ]",text,,,1,cmu-project,Committest final result check
