Project,From,Execution,To,FromLocation,FromSuccessCheckPoint,FromFailCheckPoint,FromShowCheckPoint,FromType,FromLastTime,FromResult,ToLocation,ToSuccessCheckPoint,ToFailCheckPoint,ToShowCheckPoint,ToType,ToLastTime,ToResult,Periodic,Replace,Description
UTS,[cmu-project]_src_UTS_[cmu-uts-module],UTS_log,[cmu-project]_log_UTS_LOG_[cmu-uts-module],vgit_src_[cmu-project]_[cmu-uts-module],,,,text,,,ssh:tiger.lge.com:/var/www/html/DailyTest/Latest_daily__[cmu-project]_release/utsOutput/[cmu-uts-module]/uts_log__[cmu-uts-module].txt,Overall coverage rate: _SEQAND_ [100%] Built target all_coverage,,Overall coverage rate: _SEQAND_ lines _SEQAND_ functions _SEQAND_ branches,text,,,1,"cmu-project,cmu-uts-module",UTS log check
UTS,[cmu-project]_log_UTS_LOG_[cmu-uts-module],UTS_coverage,[cmu-project]_coverage_UTS_COVERAGE_[cmu-uts-module],vgit_src_[cmu-project]_[cmu-uts-module],,,,text,,,ssh:tiger.lge.com:/var/www/html/DailyTest/Latest_daily__[cmu-project]_release/utsOutput/[cmu-uts-module]/all_coverage/index.html,,,,text,,,1,"cmu-project,cmu-uts-module",UTS coverage html result check
Emergency error,[cmu-project]_commit,Emergency_handler,[cmu-project]_commit_result,vgit_src_[cmu-project]_commit,$ret_tta=0,$ret_tta!=0,,text,,,Collab_Emergency_error_monitor_all_project,PASS,FAIL,,text,,,1,cmu-project,Commit build result and merge status check
Emergency error,[cmu-project]_commit_statistic_collab,Emergency_handler,[cmu-project]_vlm_ticket,vgit_src_[cmu-project]_commit,,$current_rate_ratio<70%_SEQOR_$continuous_four_fail_commit,,text,,,VLM_TAF_Emergency_Error_Alert_committest_when continuous_failed_4_times_or_the_current_rate_below_70%.,,Suspicious commits,Suspicious commits,text,,,1,cmu-project,Monitor fail commit
Committest,[cmu-project]_src_TigerTestAgent,TigerTestAgent_sldd,[cmu-project]_log_TigerTestAgent_LOG,vgit_src_[cmu-project]_TigerTestAgent,RESULT:  Success,RESULT: Fail_SEQOR_RESULT: FailTimeOut_SEQOR_RESULT: Crashed,,text,,,ssh:tiger.lge.com:/var/www/html/DailyTest/Latest_daily__[cmu-project]_release/daily_[cmu-project].log,,,_SEQAND_  test_command failed.,text,,,1,cmu-project,Committest log check
Committest,[cmu-project]_log_TigerTestAgent_LOG,TigerTestAgent_sldd,[cmu-project]_log_TigerTestAgent_TestResult,vgit_src_[cmu-project]_TigerTestAgent,,,,text,,,ssh:tiger.lge.com:/var/www/html/DailyTest/Latest_daily__[cmu-project]_release/TA_report/TestResultFile.txt,FINAL_TEST_RESULT : PASS,FINAL_TEST_RESULT : FAIL,"TestCase (fail, pass /tested/total) = [ _SEQAND_ ]",text,,,1,cmu-project,Committest final result check
